Référence,Nom,Description Technique,Système D'exploitation,Caméra,Caractéristique Caméra,Autonomie Batterie,Catégorie,Sous catégorie,Marque,Modèle,Description Marketing,RAM,Stockage,Type De Stockage,Processeur,Type D'écran,Résolution écran,Temps de réponse écran,Fréquence écran,Luminosité écran,Taille Écran,Carte Graphique,Connectivité,Connectique,Alimentation,Audio,Dimensions,Poids,Norme Environnementale,Empreinte Carbonne,Clavier,Garantie fabricant,Top Produit,Délais de livraison,Etat,Couleur,Images,Fournisseur,Reference ID,SKU ID,Plan ID,GUID,Type Licence,Apps incluses,Apps type,Prix achat,Prix location,Deleted
CFQ7TTC0LH1G:0001:P1M:M,Microsoft 365 Apps for business,,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Utilisez les versions pour appareils de bureau de Word, Excel, PowerPoint et Outlook.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Installez Microsoft 365 Apps sur un maximum de 5 appareils mobiles, 5 tablettes et 5 PC ou Mac par utilisateur.
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7.
- Microsoft 365 Copilot disponible en tant que module complémentaire.

Compatible avec Windows 11, Windows 10, Windows 8.1 et les trois versions les plus récentes de macOS. Toutes les langues sont prises en charge.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,USCFQ7TTC0LH180001,Annual-n44,cdd28e44-67e3-425e-be4c-737fab2899d3,Mensuel,"Word,Excel,PowerPoint,Outlook,OneDrive",complete,,11.76,0
CFQ7TTC0LH1G:0001:P1Y:Y,Microsoft 365 Apps for business,,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Utilisez les versions pour appareils de bureau de Word, Excel, PowerPoint et Outlook.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Installez Microsoft 365 Apps sur un maximum de 5 appareils mobiles, 5 tablettes et 5 PC ou Mac par utilisateur.
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7.
- Microsoft 365 Copilot disponible en tant que module complémentaire.

Compatible avec Windows 11, Windows 10, Windows 8.1 et les trois versions les plus récentes de macOS. Toutes les langues sont prises en charge.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,USCFQ7TTC0LH1G0001,Annual-n42,cdd28e44-67e3-425e-be4c-737fab2899d3,Annuel,"Word,Excel,PowerPoint,Outlook,OneDrive",complete,,117.60,0
CFQ7TTC0LH18:0001:P1M:M,Microsoft 365 Business Basic,,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés.
- Utilisez des versions web et mobile de Word, Excel, PowerPoint et Outlook uniquement.
- Obtenez un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook.
- Planifiez des réunions avec vos clients et collaborez grâce à Teams.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Bookings, Planner et Forms).
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,USCFQ7TTC0LH180001,Microsoft-365-Business-Basic,3b555118-da6a-4418-894f-7df1e2096870,Mensuel,"Teams,Word,Excel,PowerPoint,Outlook,OneDrive,SharePoint,Exchange",web,,6.72,0
CFQ7TTC0LH18:0001:P1Y:Y,Microsoft 365 Business Basic,,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés.
- Utilisez des versions web et mobile de Word, Excel, PowerPoint et Outlook uniquement.
- Obtenez un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook.
- Planifiez des réunions avec vos clients et collaborez grâce à Teams.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Bookings, Planner et Forms).
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,USCFQ7TTC0LH180001,Annual-n44,3b555118-da6a-4418-894f-7df1e2096870,Annuel,"Teams,Word,Excel,PowerPoint,Outlook,OneDrive,SharePoint,Exchange",web,,67.20,0
CFQ7TTC0LH18:000D:P1M:M,Microsoft 365 Business Basic EEA (no Teams),,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés.
- Utilisez des versions web et mobile de Word, Excel, PowerPoint et Outlook uniquement.
- Obtenez un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Bookings, Planner et Forms).
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot disponible en tant que module complémentaire3

Faites votre choix parmi les offres avec et sans Microsoft Teams",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-Business-Basic-EEA,Monthly-n69,b1f3042b-a390-4b56-ab61-b88e7e767a97,Mensuel,"Word,Excel,PowerPoint,Outlook,OneDrive,SharePoint,Exchange",web,,5.52,0
CFQ7TTC0LH18:000D:P1Y:Y,Microsoft 365 Business Basic EEA (no Teams),,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés.
- Utilisez des versions web et mobile de Word, Excel, PowerPoint et Outlook uniquement.
- Obtenez un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Bookings, Planner et Forms).
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot disponible en tant que module complémentaire3

Faites votre choix parmi les offres avec et sans Microsoft Teams",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-Business-Basic-EEA,Annual-n72,b1f3042b-a390-4b56-ab61-b88e7e767a97,Annuel,"Word,Excel,PowerPoint,Outlook,OneDrive,SharePoint,Exchange",web,,55.20,0
CFQ7TTC0LCHC:0002:P1M:M,Microsoft 365 Business Premium,,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés. 
- Utilisez les versions de bureau, web et mobile de Word, Excel, PowerPoint et Outlook. 
- Profitez d’un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook. 
- Planifiez des réunions avec vos clients, organisez des webinaires et collaborez grâce à Teams. 
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur. 
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Microsoft Loop, Clipchamp, Bookings, -Planificateur et Microsoft Forms).
- Défendez votre entreprise avec la protection des appareils, des cyber-menaces et des points de terminaison à l’échelle de l’entreprise.
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot  disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams.",,,,,,,,,,,,,,,,,,,,,,Oui,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,USCFQ7TTC0LCHC0002,Monthly-n125,cbdc14ab-d96c-4c30-b9f4-6ada7cdc1d46,Mensuel,"Teams,Word,Excel,PowerPoint,Outlook,OneDrive ,SharePoint,Exchange,Clipchamp,Microsoft Loop ,Microsoft Entra ID,Intune,Microsoft Defender,Microsoft Purview",complete,,24.72,0
CFQ7TTC0LCHC:0002:P1Y:Y,Microsoft 365 Business Premium,,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés. 
- Utilisez les versions de bureau, web et mobile de Word, Excel, PowerPoint et Outlook. 
- Profitez d’un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook. 
- Planifiez des réunions avec vos clients, organisez des webinaires et collaborez grâce à Teams. 
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur. 
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Microsoft Loop, Clipchamp, Bookings, -Planificateur et Microsoft Forms).
- Défendez votre entreprise avec la protection des appareils, des cyber-menaces et des points de terminaison à l’échelle de l’entreprise.
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot  disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,USCFQ7TTC0LCHC0002,Annual-n155,cbdc14ab-d96c-4c30-b9f4-6ada7cdc1d46,Annuel,"Teams,Word,Excel,PowerPoint,Outlook,OneDrive ,SharePoint,Exchange,Clipchamp,Microsoft Loop ,Microsoft Entra ID,Intune,Microsoft Defender,Microsoft Purview",complete,,247.20,0
CFQ7TTC0LCHC:000C:P1M:M,Microsoft 365 Business Premium EEA (no Teams),,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés. 
- Utilisez les versions de bureau, web et mobile de Word, Excel, PowerPoint et Outlook. 
- Profitez d’un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook. 
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur. 
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Microsoft Loop, Clipchamp, Bookings, -Planificateur et Microsoft Forms).
- Défendez votre entreprise avec la protection des appareils, des cyber-menaces et des points de terminaison à l’échelle de l’entreprise.
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot  disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-Business-Premium-E,Monthly-n71,a3f586b6-8cce-4d9b-99d6-55238397f77a,Mensuel,"Word,Excel,PowerPoint,Outlook,OneDrive ,SharePoint,Exchange,Clipchamp,Microsoft Loop ,Microsoft Entra ID,Intune,Microsoft Defender,Microsoft Purview",complete,,22.32,0
CFQ7TTC0LCHC:000C:P1Y:Y,Microsoft 365 Business Premium EEA (no Teams),,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés. 
- Utilisez les versions de bureau, web et mobile de Word, Excel, PowerPoint et Outlook. 
- Profitez d’un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook. 
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur. 
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Microsoft Loop, Clipchamp, Bookings, -Planificateur et Microsoft Forms).
- Défendez votre entreprise avec la protection des appareils, des cyber-menaces et des points de terminaison à l’échelle de l’entreprise.
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot  disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-Business-Premium-E,Annual-n74,a3f586b6-8cce-4d9b-99d6-55238397f77a,Annuel,"Word,Excel,PowerPoint,Outlook,OneDrive ,SharePoint,Exchange,Clipchamp,Microsoft Loop ,Microsoft Entra ID,Intune,Microsoft Defender,Microsoft Purview",complete,,223.20,0
